,name,rating,address,city,lat,long,zip code,Number of Pikachu
46,MandRo Teahouse,4.0,34956 Newark Blvd,Newark,37.55150491512378,-122.050272187505,94555,25
47,CaFace,3.5,6180 Jarvis Ave,Newark,37.54872,-122.04928999999998,94555,25
48,Tasty Pot,4.0,34909 Newark Blvd,Newark,37.5508,-122.0509,94555,25
49,K-Pop Cafe,4.0,35041 Fremont Blvd,Fremont,37.570362,-122.0318791,94555,25
50,uRbain tea,3.5,1590 Washington Blvd,Fremont,37.531231411929795,-121.937047836775,94537,4
51,T4 Tea,3.5,43430 Mission Blvd,Fremont,37.53181,-121.91944,94537,4
52,My Delights,4.0,43486 Ellsworth St,Fremont,37.53049850463871,-121.920637562871,94537,4
53,Icy Blue,3.5,43360 Mission Blvd,Fremont,37.53259,-121.91949,94537,4
54,La Farfalla Bakery,4.0,39947 Mission Blvd,Fremont,37.5566932750951,-121.952448293212,94537,4
55,Ice3 Creamery,4.0,39957 Mission Blvd,Fremont,37.556529,-121.952556,94537,4
56,Tea Era,4.0,271 Castro St,Mountain View,37.3929561,-122.0792811,94041,4
57,The Tea Zone & Fruit Bar,4.5,805 El Camino Real,Mountain View,37.38565,-122.08442,94041,4
58,Teaspoon,3.5,236 Castro St,Mountain View,37.3934799,-122.07956000000001,94041,4
59,Verde Tea Cafe,3.5,852 Villa St,Mountain View,37.3941710599454,-122.07954880400601,94041,4
60,Jazen Tea,3.0,220 Castro St,Mountain View,37.3936614990234,-122.079444885254,94041,4
61,Tapioca Express,3.0,740 Villa St,Mountain View,37.39379,-122.07838999999998,94041,4
63,Teaspoon,4.0,4546 El Camino Real,Los Altos,37.401254171244,-122.114469291963,94023,14
64,i-Tea,4.0,20666 Redwood Rd,Castro Valley,37.695910999999995,-122.072915,94546,3
65,Sweet Spot,4.5,20669 Santa Maria Ave,Castro Valley,37.6960964188897,-122.07856502383899,94546,3
66,T4,3.5,18911 Lake Chabot Rd,Castro Valley,37.70864,-122.09133999999999,94546,3
67,Milkcow,3.5,3223 Castro Valley Blvd,Castro Valley,37.69529,-122.07956000000001,94546,3
68,Milk & Cookie Bar,4.5,18911 Lake Chabot Rd,Castro Valley,37.70864,-122.09133999999999,94546,3
69,Quickly,3.0,20893 Redwood Rd,Castro Valley,37.6947791129351,-122.073979452252,94546,3
70,Pokeatery,4.5,18911 Lake Chabot Rd,Castro Valley,37.70864,-122.09133999999999,94546,3
71,Tea Villa,4.0,1679 N Milpitas Blvd,Milpitas,37.4547351745994,-121.91157187616899,95035,9
72,i-Tea,4.0,760 E Calaveras Blvd,Milpitas,37.43274,-121.89277,95035,9
73,TeaTop,4.5,82 Ranch Dr,Milpitas,37.42644,-121.92161999999999,95035,9
74,Ten Ren Tea Co of Milpitas,4.5,1732 N Milpitas Blvd,Milpitas,37.4555854711176,-121.90998427547899,95035,9
75,Fantasia Coffee & Tea,4.0,528 Barber Ln,Milpitas,37.4208151690146,-121.91659205901199,95035,9
76,Teaspoon,4.0,201 W Calaveras Blvd,Milpitas,37.42868,-121.91131999999999,95035,9
77,Teasociety,3.5,55 N Milpitas Blvd,Milpitas,37.4341782,-121.90074380000001,95035,9
78,T4,3.5,540 Barber Ln,Milpitas,37.4207404131486,-121.91664888892099,95035,9
79,BCUTE tea drinks and finger foods,4.0,200 Serra Way,Milpitas,37.426490149909895,-121.909996320473,95035,9
80,Happy Lemon,4.0,279 W Calaveras Blvd,Milpitas,37.4274706596526,-121.91078242325001,95035,9
81,Sno-Crave Tea House,3.5,1777 N Milpitas Blvd,Milpitas,37.45580770075321,-121.911192834377,95035,9
82,Sancha Bar,3.5,279 Jacklin Rd,Milpitas,37.4464966,-121.90401609999998,95035,9
83,Chick & Tea,3.5,1723 N Milpitas Blvd,Milpitas,37.4551887512207,-121.911521911621,95035,9
84,Queen's Cafe,3.5,372 Barber Ln,Milpitas,37.4224649523506,-121.91667347853998,95035,9
85,85°C Bakery Cafe,3.5,672 Barber Ln,Milpitas,37.419465,-121.915568,95035,9
86,Simpletea,3.5,1535 Landess Ave,Milpitas,37.416848,-121.87689830000001,95035,9
87,BAMBU,3.5,89 S Park Victoria Dr,Milpitas,37.433926,-121.88425900000001,95035,9
88,Shihlin Taiwan Street Snacks,4.0,522 Barber Ln,Milpitas,37.420773,-121.91640500000001,95035,9
89,Aroma Coffee and Snacks,4.0,1535 Landess Ave,Milpitas,37.416845952699106,-121.87677405774599,95035,9
90,Pop Tea Bar,4.0,456 Cambridge Ave,Palo Alto,37.42655,-122.14631999999999,94036,4
91,Gong Cha,4.0,439 Waverley St,Palo Alto,37.447628,-122.160728,94301,15
92,Sharetea,4.0,540 Bryant St,Palo Alto,37.445381,-122.16099399999999,94301,15
93,T4,3.5,165 University Ave,Palo Alto,37.44451,-122.16337,94301,15
94,DAVIDsTEA,4.5,318 University Ave,Palo Alto,37.446105700000004,-122.1610267,94301,15
95,pokéLOVE,3.5,855 El Camino Real,Palo Alto,37.438632,-122.160532,94301,15
96,Bare Bowls,4.0,530 Emerson St,Palo Alto,37.44413,-122.16237,94301,15
97,Tea Time,3.5,542 Ramona St,Palo Alto,37.444610595703104,-122.16154479980499,94301,15
98,Fraiche,4.0,200 Hamilton Ave,Palo Alto,37.443875467424796,-122.161595821381,94301,15
99,Coupa Café,3.5,538 Ramona St,Palo Alto,37.444682,-122.161533,94301,15
100,Coupa Café - Lytton,3.5,111 Lytton Ave,Palo Alto,37.4444718383711,-122.165222240072,94301,15
101,Paris Baguette,3.5,383 University Ave,Palo Alto,37.44719696044921,-122.160781860352,94301,15
102,Coupa Cafe - Green Library,3.5,571 Escondido Mall,Stanford,37.426249336151,-122.167067527771,94301,15
103,Sharetea,4.0,699 Lewelling Blvd,San Leandro,37.687487183018,-122.136023640633,94579,8
104,D T Dim Sum & Tea,3.5,1970 Lewelling Blvd,San Leandro,37.6799806952477,-122.15467102825599,94579,8
105,Pho An Hoa,3.5,14391 Washington Ave,San Leandro,37.702842,-122.142028,94579,8
106,Craw Station,3.5,15040 Farnsworth St,San Leandro,37.690664720659704,-122.151571007974,94579,8
107,Foodnet Supermarket,3.5,1960 Lewelling Blvd,San Leandro,37.6795,-122.15478999999999,94579,8
108,Boba Guys,4.0,3491 19th St,San Francisco,37.75994,-122.42112,94110,12
109,Little Heaven Deli,4.5,2348 Mission St,San Francisco,37.759479999999996,-122.41943,94110,12
110,Boba Guys,4.0,1002 16th St,San Francisco,37.7665676429306,-122.397055947925,94158,1
111,STEEP Creamery & Tea,4.0,270 Brannan St,San Francisco,37.7825348173521,-122.391180229883,94017,2
112,Cuppa,3.5,2810 Diamond St,San Francisco,37.73429,-122.43417,94131-3228,18
113,FrosTea,3.5,6178 Mission St,Daly City,37.70689,-122.4588,94014,10
114,i-Tea,4.0,388 9th St,Oakland,37.800613594099296,-122.27067690342699,94607,4
115,T&Bowl,4.0,901 Franklin St,Oakland,37.800475399999996,-122.2722423,94607,4
116,The Sweet Booth,4.0,388 9th St,Oakland,37.80044555664061,-122.271835327148,94607,4
117,T4,3.0,1068 Webster St,Oakland,37.8009841,-122.2700858,94607,4
118,Sharetea,3.5,2670 5th St,Alameda,37.78672150000001,-122.28134469999999,94607,4
119,Sweetheart Cafe,3.5,315 9th St,Oakland,37.7994484,-122.27009679999999,94607,4
120,50 Tea,3.5,1004 Webster St,Oakland,37.8007358,-122.270182,94607,4
121,Sancha Bar,2.5,251 9th St,Oakland,37.7989615787538,-122.268823823837,94607,4
122,Alice Street Bakery Café,4.5,251 10th St,Oakland,37.799629211425795,-122.26837158203101,94607,4
123,Shooting Star Cafe,3.5,1022 Webster St,Oakland,37.800992,-122.2701305,94607,4
124,i-Tea,4.0,1626 Park St,Alameda,37.7673552038867,-122.240029983222,94501,14
125,Teaway,3.5,2402 Central Ave,Alameda,37.76394000000001,-122.24266000000001,94501,14
126,Tea Delight,4.0,650 Central Ave,Alameda,37.770820099746,-122.27751590793301,94501,14
127,T4,3.5,1431 A Park St,Alameda,37.76509,-122.24233000000001,94501,14
128,Teazzert,3.5,1342 Park St,Alameda,37.763529999999996,-122.24318999999998,94501,14
129,Tapioca Express,3.5,2306 Encinal Ave,Alameda,37.76273,-122.24497,94501,14
130,Tuttimelon,3.5,2402 Central Ave,Alameda,37.76394000000001,-122.24266000000001,94501,14
131,Hot Spot,3.5,2321 Santa Clara Ave,Alameda,37.765703473918,-122.242378592491,94501,14
132,Sharetea,4.0,2440 Bancroft Way,Berkeley,37.8684064,-122.26051129999999,94720,4
133,TeaOne Berkeley,3.5,2380 Telegraph Ave,Berkeley,37.86727,-122.25905,94720,4
134,i-Tea,4.0,177 Pelton Ctr Way,San Leandro,37.72272,-122.15438999999999,94577,8
135,T4,3.5,1443 E 14th St,San Leandro,37.723825,-122.15466299999999,94577,8
136,8-Twelve Oriental Market,4.0,596 E 14th St,San Leandro,37.73104770000001,-122.1605656,94577,8
137,East 14th Bakery & Cafe,3.5,1780 E 14th St,San Leandro,37.7215444,-122.1509912,94577,8
138,Tapioca Express,3.5,129 W Joaquin Ave,San Leandro,37.7239999,-122.15511000000001,94577,8
139,Sweethoney Dessert,3.5,1423 E 14th St,San Leandro,37.7240845354245,-122.154812393848,94577,8
140,Cafe Sorriso,4.0,1501 Washington Ave,San Leandro,37.7228,-122.155194,94577,8
141,Sweet Dee Cupcakes & Snow Ice,4.0,109 Pelton Ctr Way,San Leandro,37.7229449751301,-122.153543170361,94577,8
142,Leisure Cafe,2.5,1443 E 14th St,San Leandro,37.7236583501576,-122.15453054755899,94577,8
143,China Kitchen Express,2.0,13780 E 14th St,San Leandro,37.715400700000004,-122.1423264,94577,8
144,Taqueria Los Pericos,4.0,1389 E 14th St,San Leandro,37.72437,-122.15508500000001,94577,8
145,Pho Anh-Ha,3.5,2089 E 14th St,San Leandro,37.71929,-122.14865,94577,8
146,Tea Lyfe Drinks,4.0,989 Story Rd,San Jose,37.3323443189417,-121.857742217231,95122,2
147,Teahee,4.0,979 Story Rd,San Jose,37.3311487640944,-121.85737667523,95122,2
148,Soyful Desserts,4.0,999 Story Rd,San Jose,37.3319875706985,-121.85677421230301,95122,2
149,Bubbly,4.0,1816 Tully Rd,San Jose,37.32229,-121.82405,95122,2
150,Shincha Tea,4.0,2487 Alvin Ave,San Jose,37.319177279223204,-121.82704155483299,95122,2
151,Sweet Gelato Tea Lounge,4.5,979 Story Rd,San Jose,37.33133611473671,-121.85738194973801,95122,2
152,Purple Kow,3.5,2435 S King Rd,San Jose,37.3210352284759,-121.825406030688,95122,2
153,Boba Pub,4.0,1576 Branham Ln,San Jose,37.25336,-121.9015,95118,3
154,BeiBay Tea,4.0,1180 Blossom Hill Rd,San Jose,37.2497081431029,-121.87928677485701,95118,3
155,Teaspoon,4.0,4328 Moorpark Ave,San Jose,37.3157651,-121.9782757,95129,33
156,TeaTop,4.0,6158 Bollinger Rd,San Jose,37.30865701383011,-122.012592169713,95129,33
157,85°C Bakery Cafe,3.5,1183 S De Anza Blvd,San Jose,37.3035809397697,-122.032403200865,95129,33
158,Matcha Love,4.0,675 Saratoga Ave,San Jose,37.314963205990004,-121.97809522149599,95129,33
159,Music Tunnel KTV Cafe,3.5,1132 S De Anza Blvd,San Jose,37.30529,-122.03166999999999,95129,33
160,Snowflake,3.5,4306 Moorpark Ave,San Jose,37.3155981167824,-121.977282188172,95129,33
161,Boba Bar,3.5,310 S 3rd St,San Jose,37.332404,-121.8845467,95192,2
162,Sinceretea,4.0,392 E Taylor St,San Jose,37.352939899999996,-121.89176,95112,22
163,The Tea Zone & Fruit Bar,3.5,980 S Winchester Blvd,San Jose,37.309534,-121.949649,95117,24
164,Createave Cafe,4.0,1698 Hostetter Rd,San Jose,37.386980020394894,-121.883576139808,95131,19
165,Gong Cha,3.5,1701 Lundy Ave,San Jose,37.38753,-121.88725,95131,19
166,Sharetea,3.5,1728 Hostetter Rd,San Jose,37.387508000000004,-121.882934,95131,19
167,T4,3.5,1671 N Capitol Ave,San Jose,37.3973731994629,-121.87368774414101,95131,19
168,BAMBU,4.0,1688 Hostetter Rd,San Jose,37.38620887762679,-121.884416049074,95131,19
169,Black Pearl,3.0,1055 E Brokaw Rd,San Jose,37.384315924191704,-121.89744169577,95131,19
170,Happiness Cafe,4.5,1688 Hostetter Rd,San Jose,37.3863881481701,-121.88480323809799,95131,19
171,Sharetea,4.0,1171 Homestead Rd,Santa Clara,37.348659999999995,-121.94616,95050,18
172,Sharetea,3.5,2855 Stevens Creek Blvd,Santa Clara,37.325509999999994,-121.94462,95050,18
173,Youji Fresh Rolls Wine & Tea,2.5,2855 Stevens Creek Blvd,Santa Clara,37.326036489104,-121.94416520898399,95050,18
174,Caffé Central,2.5,2855 Stevens Creek Blvd,Santa Clara,37.3260982962994,-121.944144442677,95050,18
175,Bar Code,3.0,2855 Stevens Crk Blvd,Santa Clara,37.3260983428105,-121.94561896626999,95050,18
176,T Spot Boba Drinks & Snacks,4.0,2520 Berryessa Rd,San Jose,37.3879799,-121.85888190000001,95132,7
177,Yummi Tea Cafe,4.0,2191 Morrill Ave,San Jose,37.414925,-121.875899,95132,7
178,The Pennywort,4.0,2056 N Capitol Ave,San Jose,37.40685,-121.88672,95132,7
179,Quickly,2.5,1350 S Park Victoria Dr,Milpitas,37.4178751788897,-121.87439297546301,95132,7
180,Gong Cha,3.5,1600 Saratoga Ave,San Jose,37.2923420099239,-121.98874441586399,95130,21
181,Jovie Coffee & Pho,3.5,136 N San Tomas Aquino,Campbell,37.2878194445875,-121.975211858331,95130,21
182,The Moo Bar,3.5,1080 Kiely Blvd,Santa Clara,37.3459400429099,-121.979151964188,95051-4409,2
183,Cocohodo,4.0,1082 E El Camino Real,Sunnyvale,37.3517264451999,-122.002505609904,95051-4409,2
184,Tous Les Jours,3.5,3535 Homestead Rd,Santa Clara,37.33882,-121.99497,95051-4409,2
185,Tapioca Express,4.0,81 Curtner Ave,San Jose,37.30303747825121,-121.864601250072,95125,21
186,Boba Guys,4.0,872 Laurel St,San Carlos,37.5027402543983,-122.25698015853901,94070,16
187,Mints & Honey,4.5,1524 El Camino Real,San Carlos,37.49613,-122.2477,94070,16
188,Teaquation,4.5,1036 El Camino Real,Redwood City,37.483950944157705,-122.232653501548,94063,21
189,Chatime,4.0,2202 Broadway St,Redwood City,37.487118,-122.229624,94063,21
190,Teatime,4.0,1003 El Camino Real,Redwood City,37.48460420714571,-122.232427139501,94063,21
191,Comebuy Drinks,4.0,2074 Broadway,Redwood City,37.4868,-122.22766000000001,94063,21
192,Teaspoon,4.0,2361 Broadway St,Redwood City,37.4861601263273,-122.230740152299,94063,21
193,Quickly,3.0,300 Walnut St,Redwood City,37.4917931901457,-122.22419253147699,94063,21
194,Taza Deli & Cafe,5.0,1796 Broadway,Redwood City,37.4868656,-122.22341329999999,94063,21
195,Froyola,4.0,2206 Broadway St,Redwood City,37.4867482944358,-122.229360103705,94063,21
196,Green Leaf Asian Bistro & Cafe,4.0,865 Middlefield Rd,Redwood City,37.4857502210641,-122.228834925786,94063,21
197,T4,3.5,1033 B St,Hayward,37.6731435370977,-122.08203440297501,94544,36
198,Munch,4.0,27560 Tampa Ave,Hayward,37.631869,-122.07538400000001,94544,36
199,Teaster,3.5,410 W A St,Hayward,37.6660188062353,-122.108395027727,94541,4
200,Eko Coffee Bar & Tea House,4.0,1075 B St,Hayward,37.673707008361795,-122.081397101283,94541,4
201,Sivan's Cafe,4.5,766 A St,Hayward,37.67244,-122.08685,94541,4
202,Yogurt Hill,4.0,1081 B St,Hayward,37.67355,-122.08113999999999,94541,4
203,Fantasia Coffee & Tea,4.0,10933 N Wolfe Rd,Cupertino,37.3361159244324,-122.01589030752899,95014,9
204,Ten Ren Tea,4.0,10881 N Wolfe Rd,Cupertino,37.3356484303065,-122.014956682871,95014,9
205,Meet Fresh,3.0,19449 Stevens Creek Blvd,Cupertino,37.3243651,-122.01055330000001,95014,9
206,Cafe LaTTea,3.5,19501 Stevens Creek Blvd,Cupertino,37.323241317778,-122.012261466162,95014,9
207,T4 Cupertino,4.0,19505 Stevens Creek Blvd,Cupertino,37.32328,-122.01283000000001,95014,9
208,Tea Chansii,3.0,19449 Stevens Creek Blvd,Cupertino,37.324398934014894,-122.01113826932101,95014,9
209,Calibear Cyber Cafe,4.5,1336 S Mary Ave,Sunnyvale,37.35065,-122.04961999999999,94087,18
210,Happy Lemon,4.5,605 E El Camino Real,Sunnyvale,37.36189,-122.02453999999999,94088-3707,5
211,Sharetea,4.0,568 El Camino Real,Sunnyvale,37.3623572836214,-122.02725608702299,94088-3707,5
212,Bubble Tea Time,4.0,18564 Prospect Rd,Saratoga,37.29165,-121.99636000000001,95070,38
213,Satori Tea Company,3.5,14482 Big Basin Way,Saratoga,37.2574696,-122.03354270000001,95070,38
214,Teaspoon,4.0,3450 El Camino Real,Santa Clara,37.351987713518895,-121.991230201809,95051,20
215,California Mochi,4.0,3030 El Camino Real,Santa Clara,37.3517723083496,-121.98119354247999,95051,20
216,Jazen Tea Santa Clara,2.5,3484 El Camino Real,Santa Clara,37.351586391268796,-121.99270148474,95051,20
217,Honeyberry,3.5,3488 El Camino Real,Santa Clara,37.35156814963771,-121.99284472945801,95051,20
218,Beastea,4.0,2785 El Camino Real,Santa Clara,37.35297,-121.97705,95051-1880,4
219,Tea Annie,4.0,1712 Miramonte Ave,Mountain View,37.3723,-122.08801000000001,94040,11
220,Chilly & Munch,4.5,2101 Showers Dr,Mountain View,37.4068109566105,-122.106984711639,94040,11
221,Panda Express,2.0,1035 El Monte Ave,Mountain View,37.390983766688,-122.09529408877899,94040,11
222,Nekter Juice Bar,3.5,685 San Antonio Rd,Mountain View,37.401559899999995,-122.1132477,94040,11
223,TeaFans,3.5,927 E Arques Ave,Sunnyvale,37.381369899999996,-122.00808,94085,4
224,Quickly,3.5,415 N Mary Ave,Sunnyvale,37.390076192143,-122.042184743589,94085,4
225,BAMBU,3.5,189 W Washington Ave,Sunnyvale,37.3763175470854,-122.031325878136,94086,10
226,Bean Scene,3.5,186 S Murphy Ave,Sunnyvale,37.376183399999995,-122.0301825,94086,10
227,Icicles,4.0,19622 Stevens Creek Blvd,Cupertino,37.3225177360044,-122.017925500033,95014-2456,4
228,Ocha Tea Café & Restaurant,3.5,1350 Grant Rd,Mountain View,37.3770405227974,-122.076683293475,9404,2
229,Butterfly,4.0,1000 Lafayette St,Santa Clara,37.35031160000001,-121.9438457,95050-9998,4
230,Frozo's Frozen Yogurt,3.5,1000 Lafayette St,Santa Clara,37.3503848,-121.9437883,95050-9998,4
231,Pearl Cafe,3.5,506A Showers Dr,Mountain View,37.402982863672,-122.10676106228,94022,35
232,The Posh Bagel,3.5,310 Main St,Los Altos,37.3783798,-122.11701969999999,94022,35
233,Teaspoon,4.5,2675 Middlefield Rd,Palo Alto,37.434084999999996,-122.129446,94303,25
234,Dohatsuten,3.5,799 San Antonio Rd,Palo Alto,37.4203109741211,-122.102348327637,94303,25
235,Honeyberry,4.5,3655 N 1st St,San Jose,37.4093138578249,-121.945219193046,95134,19
236,Chantal Guillon Macarons & Teas,4.5,444 University Ave,Palo Alto,37.447520000000004,-122.15965,94301-2019,11
237,CREAM,3.5,440 University Ave,Palo Alto,37.447555,-122.15980400000001,94301-2019,11
238,Yogurtland,4.0,494 University Ave,Palo Alto,37.4480657,-122.159221,94301-2019,11
239,Happy Donuts,3.5,3916 El Camino Real,Palo Alto,37.41643,-122.13004,94306,15
240,Ohana Express,4.0,640 Woodside Rd,Redwood City,37.46868,-122.22399999999999,94061,26
241,Green Bakery & Café,3.5,692 Fremont Ave,Los Altos,37.36046729266551,-122.096757004484,94024,7
242,Wild Berry Yogurt,3.5,325 Sharon Park Dr,Menlo Park,37.42398,-122.19693000000001,94028,4
243,Rojoz Gourmet Wraps,3.5,3906 Middlefield Rd,Palo Alto,37.41883,-122.1099,94043,10
244,Mr. Green Bubble,5.0,1255 S Mary Ave,Sunnyvale,37.35338,-122.05071000000001,94087-2248,9
245,Koma Sushi Restaurant,3.5,211 El Camino Real,Menlo Park,37.4483544,-122.17437679999999,94025,74
246,The Axe and Palm,2.5,Old Union Stanford University,Stanford,37.425371754743,-122.170543670654,94305-6015,9
247,Tea World,4.0,90 Eureka Sq,Pacifica,37.633749200000004,-122.4887216,94044,9
248,Boba Dude,3.5,80 Cabrillo Hwy N,Half Moon Bay,37.4702203984019,-122.435569055378,94019,8
249,Tpumps,4.0,985 E Hillsdale Blvd,Foster City,37.5573531403401,-122.27474234038401,94404,12
250,Chatime,3.5,969A Edgewater Blvd,Foster City,37.544739,-122.27108500000001,94404,12
251,Quickly,3.0,969k Edgewater Blvd,Foster City,37.544759899999995,-122.27103999999999,94404,12
252,Moo Moo Yogurt,4.0,969F Edgewater Blvd,Foster City,37.5441112400917,-122.270671007271,94404,12
253,Fashion Wok,4.0,929 A Edgewater Blvd,Foster City,37.5452836454887,-122.27046500734,94404,12
254,Cooking Papa Restaurant,3.5,949A Edgewater Blvd,Foster City,37.5446131174646,-122.270425803511,94404,12
255,Jougert Bar,4.5,1115 Burlingame Ave,Burlingame,37.5793126,-122.34574009999999,94010,3
256,T4,4.0,13350 San Pablo Ave,San Pablo,37.954766898894,-122.33416686114401,94806,4
257,Dragon Snow,3.5,3550 San Pablo Dam Rd,El Sobrante,37.96301,-122.31987,94806,4
258,Aloha Pure Water Shaved Ice,4.5,2300 El Portal Dr,San Pablo,37.966045,-122.343246,94806,4
259,Honey Bear Smoothie Tea & Dessert,5.0,1 Southland Mall Dr,Hayward,37.65423320000001,-122.1048419,94545,26
260,Quickly,2.5,25034 Hesperian Blvd,Hayward,37.644355022049204,-122.104630560233,94545,26
261,Polaris Ice Cream Rolls,4.0,595 Southland Mall,Hayward,37.652548372651,-122.106453901274,94545,26
262,World's Fare Donuts,4.5,20770 Hesperian Blvd,Hayward,37.6651882648286,-122.116480568499,94545,26
263,Yo Bowl,4.0,8 Southland Mall,Hayward,37.651128,-122.10129599999999,94545,26
265,Steepers,4.5,346 E Campbell Ave,Campbell,37.28691,-121.94397,95008,3
266,YoDo Yogurt,3.5,2475 S Winchester Blvd,Campbell,37.2784787,-121.94977920000001,95008,3
267,Bagel Street Cafe,3.0,254 Redwood Shores Pkwy,Redwood City,37.522466833140996,-122.25162513571999,94065,17
268,Quickly,2.5,15251 Hesperian Blvd,San Leandro,37.6978340148926,-122.130355834961,94578,7
269,Loving Tea,2.0,1338 Fairmont Dr,San Leandro,37.7026172,-122.1272393,94578,7
270,Quickly,3.5,17940 Hesperian Blvd,San Lorenzo,37.672988996068895,-122.122139773525,94578,7
271,Alohana Hawaiian Grill,3.0,15555 E 14th St,San Leandro,37.700115999999994,-122.12685800000001,94578,7
272,Hanoi Chicken Noodle,3.5,13720 Doolittle Dr,San Leandro,37.69982,-122.17563999999999,94580,11
273,R & D Cafe,4.0,15813 Channel St,San Lorenzo,37.6770314768334,-122.142561774295,94580,11
