restaurant,address,city,state,country,latitude,longitude,tel,website,price,rating
 Burgermeister,138 Church St,San Francisco, 'region': 'CA',US, 'latitude': 37.768755, 'longitude': -122.42914, 'tel': '(415) 437-2874', 'email': 'feedback@burgermeistersf.com', 'price': '2', 'rating': 3.0
 B Star Cafe,127 Clement St,San Francisco, 'region': 'CA',US, 'latitude': 37.783008, 'longitude': -122.460684, 'tel': '(415) 933-9900', 'email': 'hello@bstarbar.com', 'price': '3', 'rating': 3.0
 Don Pistos,510 Union St,San Francisco, 'region': 'CA',US, 'latitude': 37.800682, 'longitude': -122.407872, 'tel': '(415) 395-0939', 'email': 'hola@donpistos.com', 'price': '3', 'rating': 3.0
 Cotogna,490 Pacific Ave,San Francisco, 'region': 'CA',US, 'latitude': 37.797325, 'longitude': -122.403621, 'tel': '(415) 775-8508', 'email': 'info@cotognasf.com', 'price': '1', 'rating': 3.0
 Ironside,680 2nd St,San Francisco, 'region': 'CA',US, 'latitude': 37.780838, 'longitude': -122.391103, 'tel': '(415) 896-1127', 'email': 'info@ironsidesf.com', 'price': '3', 'rating': 3.0
 Lime Tree,450 Irving St,San Francisco, 'region': 'CA',US, 'latitude': 37.764313, 'longitude': -122.46274, 'tel': '(415) 665-1415', 'email': 'info@limetreesf.com', 'price': '2', 'rating': 3.0
 Spruce,3640 Sacramento St,San Francisco, 'region': 'CA',US, 'latitude': 37.787631, 'longitude': -122.452743, 'tel': '(415) 931-5100', 'email': 'info@sprucesf.com', 'price': '3', 'rating': 4.5
 Stable Cafe,2128 Folsom St,San Francisco, 'region': 'CA',US, 'latitude': 37.763202, 'longitude': -122.415206, 'tel': '(415) 552-1199', 'email': 'info@stablecafe.com', 'price': '3', 'rating': 4.0
 Mels Drive In,801 Mission St,San Francisco, 'region': 'CA',US, 'latitude': 37.784272, 'longitude': -122.404356, 'tel': '(415) 227-4477', 'email': 'info@visitwesthollywood.com', 'price': '3', 'rating': 4.0
 Leopolds,2400 Polk St,San Francisco, 'region': 'CA',US, 'latitude': 37.798866, 'longitude': -122.422185, 'tel': '(415) 474-2000', 'email': 'inquiries@leopoldssf.com', 'price': '1', 'rating': 4.0
 Gracias Madre,2211 Mission St,San Francisco, 'region': 'CA',US, 'latitude': 37.761547, 'longitude': -122.419204, 'tel': '(415) 683-1346', 'email': 'lindsey@gracias-madre.com', 'price': '3', 'rating': 4.5
 Bazaar Cafe,5927 California St,San Francisco, 'region': 'CA',US, 'latitude': 37.783954, 'longitude': -122.481177, 'tel': '(415) 831-5620', 'email': 'lmw@bazaarcafe.com', 'price': '2', 'rating': 3.5
 Busters,366 Columbus Ave,San Francisco, 'region': 'CA',US, 'latitude': 37.798548, 'longitude': -122.407559, 'tel': '(415) 392-2800', 'email': 'mehdi52@yahoo.com', 'price': '3', 'rating': 4.0
 Melt,700 Columbus Ave,San Francisco, 'region': 'CA',US, 'latitude': 37.801255, 'longitude': -122.411441, 'tel': '(415) 392-9290', 'email': 'meltcafe@sbcglobal.net', 'price': '3', 'rating': 4.0
 Pizza Joint,2414 San Bruno Ave,San Francisco, 'region': 'CA',US, 'latitude': 37.732046, 'longitude': -122.405565, 'tel': '(415) 467-4100', 'email': 'moe@pizzajointsf.com', 'price': '1', 'rating': 4.0
 Spqr,1911 Fillmore St,San Francisco, 'region': 'CA',US, 'latitude': 37.787369, 'longitude': -122.433663, 'tel': '(415) 771-7779', 'email': 'nate@spqrsf.com', 'price': '3', 'rating': 4.5
 Pats Cafe,2330 Taylor St,San Francisco, 'region': 'CA',US, 'latitude': 37.803985, 'longitude': -122.414841, 'tel': '(415) 776-8735', 'email': 'p2701@earthlink.net', 'price': '2', 'rating': 4.0
 Il Fornaio,1265 Battery St,San Francisco, 'region': 'CA',US, 'latitude': 37.802838, 'longitude': -122.402063, 'tel': '(415) 986-0100', 'email': 'sanfrancisco@ilfo.com', 'price': '3', 'rating': 4.0
 Chutney Restaurant,511 Jones St,San Francisco, 'region': 'CA',US, 'latitude': 37.786022, 'longitude': -122.41311, 'tel': '(415) 931-5541', 'email': 'send@giftrocket.com', 'price': '2', 'rating': 4.0
 DOSA on Fillmore,1700 Fillmore St,San Francisco, 'region': 'CA',US, 'latitude': 37.785293, 'longitude': -122.432935, 'tel': '(415) 441-3672', 'website': 'http://dosasf.com', 'price': '2', 'rating': 4.5
 Fleur De Sel,308 Kearny St,San Francisco, 'region': 'CA',US, 'latitude': 37.790955, 'longitude': -122.404015, 'tel': '(415) 956-5005', 'website': 'http://fleurdeselgourmet.com/', 'price': '2', 'rating': 3.5
 House of Nanking,919 Kearny St,San Francisco, 'region': 'CA',US, 'latitude': 37.79648, 'longitude': -122.405226, 'tel': '(415) 421-1429', 'website': 'http://houseofnanking.net', 'price': '2', 'rating': 4.0
 Hunan Homes Restaurant,622 Jackson St,San Francisco, 'region': 'CA',US, 'latitude': 37.796258, 'longitude': -122.405603, 'tel': '(415) 982-2844', 'website': 'http://hunanhome.ypguides.net', 'price': '2', 'rating': 4.5
 La Taqueria,2889 Mission St,San Francisco, 'region': 'CA',US, 'latitude': 37.750899, 'longitude': -122.418143, 'tel': '(415) 285-7117', 'website': 'http://la-taqueria-san-francisco-2-ca.placestars.com', 'price': '3', 'rating': 4.0
 La Boulange,2043 Fillmore St,San Francisco, 'region': 'CA',US, 'latitude': 37.788408, 'longitude': -122.43386, 'tel': '(415) 928-1300', 'website': 'http://laboulangecatering.com', 'price': '2', 'rating': 4.0
 Park Gyros,1201 9th Ave,San Francisco, 'region': 'CA',US, 'latitude': 37.765736, 'longitude': -122.466553, 'tel': '(415) 731-0400', 'website': 'http://parkgyros.googlepages.com', 'price': '3', 'rating': 3.5
 Perrys,155 Steuart St,San Francisco, 'region': 'CA',US, 'latitude': 37.792806, 'longitude': -122.392288, 'tel': '(415) 495-6500', 'website': 'http://perryssf.com/', 'price': '3', 'rating': 4.5
 Perrys,1944 Union St,San Francisco, 'region': 'CA',US, 'latitude': 37.797787, 'longitude': -122.431267, 'tel': '(415) 922-9022', 'website': 'http://perryssf.com/union-street/', 'price': '3', 'rating': 4.5
 Pesce,2227 Polk St,San Francisco, 'region': 'CA',US, 'latitude': 37.797286, 'longitude': -122.422168, 'tel': '(415) 928-8025', 'website': 'http://pescebarsf.com/', 'price': '1', 'rating': 4.5
 Puccini & Pinetti,129 Ellis St,San Francisco, 'region': 'CA',US, 'latitude': 37.785294, 'longitude': -122.408638, 'tel': '(415) 392-5500', 'website': 'http://pucciniandpinetti.com/', 'price': '3', 'rating': 4.0
 21st Amendment Brewery & Restaurant,563 2nd St,San Francisco, 'region': 'CA',US, 'latitude': 37.782448, 'longitude': -122.392576, 'tel': '(415) 369-0900', 'website': 'http://www.21st-amendment.com', 'price': '2', 'rating': 4.0
 Absinthe Brasserie & Bar,398 Hayes St,San Francisco, 'region': 'CA',US, 'latitude': 37.777083, 'longitude': -122.422882, 'tel': '(415) 551-1590', 'website': 'http://www.absinthe.com', 'price': '3', 'rating': 4.0
 Amber India Restaurant,25 Yerba Buena Ln,San Francisco, 'region': 'CA',US, 'latitude': 37.785772, 'longitude': -122.404401, 'tel': '(415) 777-0500', 'website': 'http://www.amber-india.com/SanFrancisco/', 'price': '2', 'rating': 4.5
 Americano,8 Mission St,San Francisco, 'region': 'CA',US, 'latitude': 37.79362, 'longitude': -122.392915, 'tel': '(415) 278-3777', 'website': 'http://www.americanorestaurant.com', 'price': '3', 'rating': 3.5
 Anchor & Hope,83 Minna St,San Francisco, 'region': 'CA',US, 'latitude': 37.787848, 'longitude': -122.398812, 'tel': '(415) 501-9100', 'website': 'http://www.anchorandhopesf.com', 'price': '3', 'rating': 4.0
 Bacco,737 Diamond St,San Francisco, 'region': 'CA',US, 'latitude': 37.751483, 'longitude': -122.436211, 'tel': '(415) 282-4969', 'website': 'http://www.baccosf.com', 'price': '3', 'rating': 4.0
 Bamboo Restaurant,1441 Polk St,San Francisco, 'region': 'CA',US, 'latitude': 37.790123, 'longitude': -122.420706, 'tel': '(415) 775-3679', 'website': 'http://www.bamboorestaurantsf.com', 'price': '1', 'rating': 3.0
 Bar Tartine,561 Valencia St,San Francisco, 'region': 'CA',US, 'latitude': 37.763972, 'longitude': -122.421755, 'tel': '(415) 487-1600', 'website': 'http://www.bartartine.com', 'price': '3', 'rating': 4.0
 Beach Chalet Brewery & Restaurant,1000 Great Hwy,San Francisco, 'region': 'CA',US, 'latitude': 37.769273, 'longitude': -122.510407, 'tel': '(415) 386-8439', 'website': 'http://www.beachchalet.com', 'price': '3', 'rating': 4.0
 Beretta,1199 Valencia St,San Francisco, 'region': 'CA',US, 'latitude': 37.753786, 'longitude': -122.420751, 'tel': '(415) 695-1199', 'website': 'http://www.berettasf.com', 'price': '3', 'rating': 4.5
 Caffe Bianco,39 Sutter St,San Francisco, 'region': 'CA',US, 'latitude': 37.790057, 'longitude': -122.401199, 'tel': '(415) 421-2091', 'website': 'http://www.biancoscatering.com', 'price': '3', 'rating': 4.0
 Big Lantern Restaurant,3170 16th St,San Francisco, 'region': 'CA',US, 'latitude': 37.764902, 'longitude': -122.423419, 'tel': '(415) 863-8100', 'website': 'http://www.biglantern.com', 'price': '1', 'rating': 4.0
 Biscuits & Blues,401 Mason St,San Francisco, 'region': 'CA',US, 'latitude': 37.787274, 'longitude': -122.410072, 'tel': '(415) 292-2583', 'website': 'http://www.biscuitsandblues.com', 'price': '3', 'rating': 3.5
 Blue Mermaid Chowder House & Bar,495 Jefferson St,San Francisco, 'region': 'CA',US, 'latitude': 37.807586, 'longitude': -122.420228, 'tel': '(415) 771-2222', 'website': 'http://www.bluemermaidsf.com', 'price': '2', 'rating': 4.5
 Bobs Steak and Chophouse,500 California St,San Francisco, 'region': 'CA',US, 'latitude': 37.793038, 'longitude': -122.403105, 'tel': '(415) 273-3085', 'website': 'http://www.bobs-steakandchop.com', 'price': '3', 'rating': 4.5
 Burger Joint,807 Valencia St,San Francisco, 'region': 'CA',US, 'latitude': 37.759918, 'longitude': -122.421312, 'tel': '(415) 824-3494', 'website': 'http://www.burgerjointsf.com', 'price': '1', 'rating': 4.0
 Burgermeister,759 Columbus Ave,San Francisco, 'region': 'CA',US, 'latitude': 37.801659, 'longitude': -122.412302, 'tel': '(415) 296-9907', 'website': 'http://www.burgermeistersf.com/', 'price': '2', 'rating': 3.5
 Cafe Flore,2298 Market St,San Francisco, 'region': 'CA',US, 'latitude': 37.764634, 'longitude': -122.432936, 'tel': '(415) 621-8579', 'website': 'http://www.cafeflore.com', 'price': '2', 'rating': 4.0
 Taj Campton Place,340 Stockton St,San Francisco, 'region': 'CA',US, 'latitude': 37.789103, 'longitude': -122.406723, 'tel': '(415) 955-5555', 'website': 'http://www.camptonplacesf.com', 'price': '4', 'rating': 4.5
 Capurros,498 Jefferson St,San Francisco, 'region': 'CA',US, 'latitude': 37.807697, 'longitude': -122.42054, 'tel': '(415) 771-9371', 'website': 'http://www.capurros.com', 'price': '2', 'rating': 4.0
 Park Chow,1240 9th Ave,San Francisco, 'region': 'CA',US, 'latitude': 37.76524, 'longitude': -122.466318, 'tel': '(415) 665-9912', 'website': 'http://www.chowfoodbar.com', 'price': '2', 'rating': 4.0
 Cioppinos,400 Jefferson St,San Francisco, 'region': 'CA',US, 'latitude': 37.807879, 'longitude': -122.419247, 'tel': '(415) 775-9311', 'website': 'http://www.cioppinosf.com/', 'price': '2', 'rating': 4.0
 Cliff House,1090 Point Lobos Ave,San Francisco, 'region': 'CA',US, 'latitude': 37.778552, 'longitude': -122.513899, 'tel': '(415) 386-3330', 'website': 'http://www.cliffhouse.com', 'price': '3', 'rating': 4.0
 Colibri Mexican Bistro,438 Geary St,San Francisco, 'region': 'CA',US, 'latitude': 37.787147, 'longitude': -122.410492, 'tel': '(415) 440-2737', 'website': 'http://www.colibrimexicanbistro.com', 'price': '2', 'rating': 4.0
 Delancey Street Restaurant,600 The Embarcadero,San Francisco, 'region': 'CA',US, 'latitude': 37.784486, 'longitude': -122.388432, 'tel': '(415) 512-5179', 'website': 'http://www.delanceystreetfoundation.org', 'price': '2', 'rating': 4.5
 Crossroads Cafe,699 Delancey St,San Francisco, 'region': 'CA',US, 'latitude': 37.783018, 'longitude': -122.388985, 'tel': '(415) 836-5624', 'website': 'http://www.delanceystreetfoundation.org/entercafe.php', 'price': '1', 'rating': 4.5
 Delfina Restaurant,3621 18th St,San Francisco, 'region': 'CA',US, 'latitude': 37.761467, 'longitude': -122.424315, 'tel': '(415) 552-4055', 'website': 'http://www.delfinasf.com', 'price': '3', 'rating': 4.0
 Destino,1815 Market St,San Francisco, 'region': 'CA',US, 'latitude': 37.771475, 'longitude': -122.42375, 'tel': '(415) 552-4451', 'website': 'http://www.destinosf.com', 'price': '2', 'rating': 3.5
 Dosa,995 Valencia St,San Francisco, 'region': 'CA',US, 'latitude': 37.757075, 'longitude': -122.421021, 'tel': '(415) 642-3672', 'website': 'http://www.dosasf.com', 'price': '2', 'rating': 4.0
 Double Decker,465 Grove St,San Francisco, 'region': 'CA',US, 'latitude': 37.777531, 'longitude': -122.424033, 'tel': '(415) 552-8042', 'website': 'http://www.doubledeckersf.com/', 'price': '3', 'rating': 4.5
 Farmerbrown,25 Mason St,San Francisco, 'region': 'CA',US, 'latitude': 37.783675, 'longitude': -122.409249, 'tel': '(415) 409-3276', 'website': 'http://www.farmerbrownsf.com', 'price': '3', 'rating': 4.0
 Fattoush Restaurant,1361 Church St,San Francisco, 'region': 'CA',US, 'latitude': 37.749033, 'longitude': -122.427052, 'tel': '(415) 641-0678', 'website': 'http://www.fattoush.com', 'price': '3', 'rating': 4.5
 Fish & Farm,339 Taylor St,San Francisco, 'region': 'CA',US, 'latitude': 37.785622, 'longitude': -122.411263, 'tel': '(415) 474-3474', 'website': 'http://www.fishandfarmsf.com', 'price': '1', 'rating': 4.0
 Flour + Water,2401 Harrison St,San Francisco, 'region': 'CA',US, 'latitude': 37.758957, 'longitude': -122.412325, 'tel': '(415) 826-7000', 'website': 'http://www.flourandwater.com', 'price': '3', 'rating': 4.5
 Brendas French Soul Food,652 Polk St,San Francisco, 'region': 'CA',US, 'latitude': 37.782872, 'longitude': -122.419023, 'tel': '(415) 345-8100', 'website': 'http://www.frenchsoulfood.com', 'price': '2', 'rating': 4.5
 Garibaldis On Presidio,347 Presidio Ave,San Francisco, 'region': 'CA',US, 'latitude': 37.788468, 'longitude': -122.447127, 'tel': '(415) 563-8841', 'website': 'http://www.garibaldisrestaurant.com', 'price': '3', 'rating': 4.0
 Hana Zen,115 Cyril Magnin St,San Francisco, 'region': 'CA',US, 'latitude': 37.785636, 'longitude': -122.408851, 'tel': '(415) 421-2101', 'website': 'http://www.hanazenrestaurant.com/', 'price': '3', 'rating': 4.0
 Hayes Street Grill,320 Hayes St,San Francisco, 'region': 'CA',US, 'latitude': 37.777147, 'longitude': -122.421755, 'tel': '(415) 863-5545', 'website': 'http://www.hayesstreetgrill.com', 'price': '3', 'rating': 4.0
 Hog Island Oyster Co.,1 Ferry Building,San Francisco, 'region': 'CA',US, 'latitude': 37.795602, 'longitude': -122.393588, 'tel': '(415) 391-7117', 'website': 'http://www.hogislandoysters.com', 'price': '3', 'rating': 4.0
 Il Pirata,2007 16th St,San Francisco, 'region': 'CA',US, 'latitude': 37.765737, 'longitude': -122.40677, 'tel': '(415) 626-2626', 'website': 'http://www.ilpiratasf.com', 'price': '3', 'rating': 4.0
 Izzys Steaks & Chops,3345 Steiner St,San Francisco, 'region': 'CA',US, 'latitude': 37.800199, 'longitude': -122.437884, 'tel': '(415) 563-0487', 'website': 'http://www.izzyssteaks.com', 'price': '1', 'rating': 4.5
 Johnny Rockets,81 Jefferson St,San Francisco, 'region': 'CA',US, 'latitude': 37.808393, 'longitude': -122.413713, 'tel': '(415) 693-9120', 'website': 'http://www.johnnyrockets.com/', 'price': '3', 'rating': 4.5
 Boulange,2310 Polk St,San Francisco, 'region': 'CA',US, 'latitude': 37.798, 'longitude': -122.422102, 'tel': '(415) 345-1107', 'website': 'http://www.laboulange.com', 'price': '2', 'rating': 4.0
 Lahore Karahi,612 Ofarrell St,San Francisco, 'region': 'CA',US, 'latitude': 37.785611, 'longitude': -122.414996, 'tel': '(415) 567-8603', 'website': 'http://www.lahorekarahisanfrancisco.com', 'price': '3', 'rating': 4.0
 Lefty ODouls,333 Geary St,San Francisco, 'region': 'CA',US, 'latitude': 37.787146, 'longitude': -122.408714, 'tel': '(415) 982-8900', 'website': 'http://www.leftyodouls.biz', 'price': '3', 'rating': 4.0
 Limon Restaurant,524 Valencia St,San Francisco, 'region': 'CA',US, 'latitude': 37.764434, 'longitude': -122.421972, 'tel': '(415) 252-0918', 'website': 'http://www.limon-sf.com', 'price': '3', 'rating': 4.5
 Loris Diner,336 Mason St,San Francisco, 'region': 'CA',US, 'latitude': 37.786826, 'longitude': -122.409602, 'tel': '(415) 392-8646', 'website': 'http://www.lorisdiner.com', 'price': '1', 'rating': 4.0
 Ls Caffe,2871 24th St,San Francisco, 'region': 'CA',US, 'latitude': 37.752688, 'longitude': -122.40959, 'tel': '(415) 206-0274', 'website': 'http://www.lscaffe.net/', 'price': '3', 'rating': 4.0
 Luce,888 Howard St,San Francisco, 'region': 'CA',US, 'latitude': 37.781872, 'longitude': -122.40479, 'tel': '(415) 616-6566', 'website': 'http://www.lucewinerestaurant.com', 'price': '2', 'rating': 3.5
 Magnolia Pub and Brewery,1398 Haight St,San Francisco, 'region': 'CA',US, 'latitude': 37.770276, 'longitude': -122.445238, 'tel': '(415) 864-7468', 'website': 'http://www.magnoliapub.com', 'price': '3', 'rating': 4.5
 Marnee Thai,2225 Irving St,San Francisco, 'region': 'CA',US, 'latitude': 37.763281, 'longitude': -122.481814, 'tel': '(415) 665-9500', 'website': 'http://www.marneethaisf.com', 'price': '2', 'rating': 4.5
 Mels Drive In,1050 Van Ness Ave,San Francisco, 'region': 'CA',US, 'latitude': 37.785519, 'longitude': -122.420949, 'tel': '(415) 292-6357', 'website': 'http://www.melsdrive-in.com', 'price': '2', 'rating': 4.0
 Memphis Minnies BBQ Joint,576 Haight St,San Francisco, 'region': 'CA',US, 'latitude': 37.772058, 'longitude': -122.431702, 'tel': '(415) 864-7675', 'website': 'http://www.memphisminnies.com', 'price': '2', 'rating': 4.5
 Nanis Coffee,2739 Geary Blvd,San Francisco, 'region': 'CA',US, 'latitude': 37.782187, 'longitude': -122.448613, 'tel': '(415) 928-8817', 'website': 'http://www.naniscoffee.com', 'price': '3', 'rating': 4.5
 Cesarios,601 Sutter St,San Francisco, 'region': 'CA',US, 'latitude': 37.788963, 'longitude': -122.410344, 'tel': '(415) 441-9898', 'website': 'http://www.nobhilldining.com/Cesarios/Welcome.htm', 'price': '3', 'rating': 4.0
 Nopa,560 Divisadero St,San Francisco, 'region': 'CA',US, 'latitude': 37.774839, 'longitude': -122.437615, 'tel': '(415) 864-8643', 'website': 'http://www.nopasf.com', 'price': '3', 'rating': 4.0
 Original US Restaurant,515 Columbus Ave,San Francisco, 'region': 'CA',US, 'latitude': 37.799702, 'longitude': -122.409446, 'tel': '(415) 397-5200', 'website': 'http://www.originalusrestaurant.com', 'price': '1', 'rating': 4.0
 OSHA Thai Restaurant,149 2nd St,San Francisco, 'region': 'CA',US, 'latitude': 37.787423, 'longitude': -122.398881, 'tel': '(415) 278-9991', 'website': 'http://www.oshathai.com', 'price': '3', 'rating': 4.0
 OSHA Thai,819 Valencia St,San Francisco, 'region': 'CA',US, 'latitude': 37.759777, 'longitude': -122.42126, 'tel': '(415) 826-7738', 'website': 'http://www.oshathai.com/', 'price': '2', 'rating': 4.0
 Pacific Cafe,7000 Geary Blvd,San Francisco, 'region': 'CA',US, 'latitude': 37.779826, 'longitude': -122.494535, 'tel': '(415) 387-7091', 'website': 'http://www.pacificcafesf.com', 'price': '3', 'rating': 4.5
 Pacific Catch,1200 9th Ave,San Francisco, 'region': 'CA',US, 'latitude': 37.765773, 'longitude': -122.466268, 'tel': '(415) 504-6905', 'website': 'http://www.pacificcatch.com', 'price': '2', 'rating': 4.0
 Pig & Whistle Bar,2801 Geary Blvd,San Francisco, 'region': 'CA',US, 'latitude': 37.782054, 'longitude': -122.449182, 'tel': '(415) 885-4779', 'website': 'http://www.pig-and-whistle.com', 'price': '1', 'rating': 4.0
 Piperade,1015 Battery St,San Francisco, 'region': 'CA',US, 'latitude': 37.800685, 'longitude': -122.401678, 'tel': '(415) 391-2555', 'website': 'http://www.piperade.com', 'price': '3', 'rating': 4.0
 Pizzeria Delfina,3611 18th St,San Francisco, 'region': 'CA',US, 'latitude': 37.761518, 'longitude': -122.424233, 'tel': '(415) 437-6800', 'website': 'http://www.pizzeriadelfina.com', 'price': '2', 'rating': 4.5
 Plouf,40 Belden Pl,San Francisco, 'region': 'CA',US, 'latitude': 37.791286, 'longitude': -122.403731, 'tel': '(415) 986-6491', 'website': 'http://www.ploufsf.com', 'price': '2', 'rating': 4.0
 LuLu,816 Folsom St,San Francisco, 'region': 'CA',US, 'latitude': 37.781789, 'longitude': -122.401821, 'tel': '(415) 495-5775', 'website': 'http://www.restaurantlulu.com', 'price': '3', 'rating': 4.0
 R & G Lounge,631 Kearny St,San Francisco, 'region': 'CA',US, 'latitude': 37.794096, 'longitude': -122.404829, 'tel': '(415) 982-7877', 'website': 'http://www.rnglounge.com', 'price': '2', 'rating': 3.5
 Roccos Cafe,1131 Folsom St,San Francisco, 'region': 'CA',US, 'latitude': 37.775999, 'longitude': -122.408476, 'tel': '(415) 554-0522', 'website': 'http://www.roccoscafe.com', 'price': '2', 'rating': 4.5
 Roses Cafe,2298 Union St,San Francisco, 'region': 'CA',US, 'latitude': 37.797011, 'longitude': -122.437027, 'tel': '(415) 775-2200', 'website': 'http://www.rosescafesf.com', 'price': '2', 'rating': 4.5
 Saha,1075 Sutter St,San Francisco, 'region': 'CA',US, 'latitude': 37.787891, 'longitude': -122.418058, 'tel': '(415) 345-9547', 'website': 'http://www.sahasf.com', 'price': '2', 'rating': 4.5
 Savor Restaurant,3913 24th St,San Francisco, 'region': 'CA',US, 'latitude': 37.751454, 'longitude': -122.430029, 'tel': '(415) 282-0344', 'website': 'http://www.savorrestaurant.com', 'price': '3', 'rating': 4.5
 Sears Fine Food,439 Powell St,San Francisco, 'region': 'CA',US, 'latitude': 37.788773, 'longitude': -122.40863, 'tel': '(415) 986-0700', 'website': 'http://www.searsfinefood.com', 'price': '3', 'rating': 4.0
 Swan Oyster Depot,1517 Polk St,San Francisco, 'region': 'CA',US, 'latitude': 37.790904, 'longitude': -122.420848, 'tel': '(415) 673-1101', 'website': 'http://www.sfswanoysterdepot.com', 'price': '3', 'rating': 4.0
 Johns Snack and Deli,40 Battery St,San Francisco, 'region': 'CA',US, 'latitude': 37.791695, 'longitude': -122.399585, 'tel': '(415) 434-4634', 'website': 'http://www.snackanddeli.com', 'price': '1', 'rating': 3.5
 Squat & Gobble Cafe,2263 Chestnut St,San Francisco, 'region': 'CA',US, 'latitude': 37.800168, 'longitude': -122.440531, 'tel': '(415) 441-2200', 'website': 'http://www.squatandgobble.com', 'price': '3', 'rating': 4.5
 Sugar Cafe,679 Sutter St,San Francisco, 'region': 'CA',US, 'latitude': 37.788817, 'longitude': -122.41151, 'tel': '(415) 441-5678', 'website': 'http://www.sugarcafesf.com', 'price': '2', 'rating': 4.5
 Suppenküche,525 Laguna St,San Francisco, 'region': 'CA',US, 'latitude': 37.776288, 'longitude': -122.426305, 'tel': '(415) 252-9289', 'website': 'http://www.suppenkuche.com', 'price': '3', 'rating': 4.0
 Tadich Grill,240 California St,San Francisco, 'region': 'CA',US, 'latitude': 37.793381, 'longitude': -122.399367, 'tel': '(415) 391-1849', 'website': 'http://www.tadichgrill.com/', 'price': '3', 'rating': 4.0
